Genome,Length
GCF_001700895,636262
GCF_003096055,626069
GCF_005080725,427426
GCF_005080745,615994
GCF_005080765,548690
GCF_005080785,412248
GCF_005080825,522672
GCF_003671935,642916
GCF_000521585,643505
GCF_001280225,628021
GCF_005081185,641206
GCF_000009605,640663
GCF_000021065,641877
GCF_000090965,416337
GCF_000174075,642011
GCF_000183225,641799
GCF_005080965,643532
GCF_005080865,619116
GCF_000217635,444540
GCF_000225465,615175
GCF_000521545,643498
GCF_005082825,645472
GCF_009068925,628168
GCF_000183285,641716
GCF_900698905,433549
GCF_005080705,419196
GCF_000183245,641770
GCF_900128735,443666
GCF_005080845,643885
GCF_005083345,630264
GCF_000521525,643500
GCF_005083105,631410
GCF_005083565,642283
GCF_005082365,632804
GCF_005083845,634166
GCF_000183305,641771
GCF_006741185,587723
GCF_005082585,636121
GCF_900698895,433208
GCF_011035165,614338
GCF_005081945,643851
GCF_900699035,434979
GCF_000521565,643513
GCF_005081705,641821
GCF_009069125,634828
GCF_003099975,641670
GCF_900698915,433816
GCF_005082145,632719
GCF_005080885,621909
GCF_000007365,641443
GCF_005237295,645300
GCF_005081445,633867
GCF_001648115,607831
GCF_900699025,446619
GCF_900698975,445067
GCF_900698945,436570
GCF_000007725,615007
GCF_013394915,628091
GCF_900698845,444723
GCF_900698865,430874
GCF_900560745,440032
GCF_900128595,446627
GCF_000021085,642104
GCF_900128725,447530
GCF_900016785,421420
GCF_000225445,641776
GCF_013487785,632697
